Year,Round,Team1,Team2,Team1.Result,Team2.Result,Team1.1QTotal,Team1.2QTotal,Team1.3QTotal,Team1.4QTotal,Team2.1QTotal,Team2.2QTotal,Team2.3QTotal,Team2.4QTotal
2018,23,Geelong Cats,Gold Coast Suns,W,L,30,50,30,32,13,7,12,8
2018,23,Richmond Tigers,Western Bulldogs,W,L,31,18,31,18,36,15,21,23
2018,23,Freemantle Dockers,Collingwood Magpies,L,W,32,10,14,11,20,19,17,20
2018,23,Sydney Swans,Hawthorn Hawks,L,W,15,28,13,18,16,8,26,33
2018,23,Carlton Blues,Adelaide Crows,L,W,10,25,15,11,34,50,44,37
2018,23,Brisbane Lions,West Coast Eagles,L,W,24,2,22,24,34,27,23,14
2018,23,Melbourne Demons,GWS Giants,W,L,26,22,33,21,25,10,3,19
2018,23,St Kilda Saints,North Melbourne Kangaroos,L,W,21,19,32,22,43,32,20,22
2019,1,Carlton Blues,Richmond Tigers,L,W,1,27,28,8,34,16,19,28
2019,1,Collingwood Magpies,Geelong Cats,L,W,23,10,19,13,14,8,30,29
2019,1,Melbourne Demons,Port Adelaide Power,L,W,27,14,20,0,16,28,25,18
2019,1,Adelaide Crows,Hawthorn Hawks,L,W,8,26,2,19,16,27,25,19
2019,1,Western Bulldogs,Sydney Swans,W,L,29,15,24,14,8,3,25,29
2019,1,Brisbane Lions,West Coast Eagles,W,L,11,43,22,26,38,9,0,11
2019,1,St Kilda Saints,Gold Coast Suns,W,L,25,33,18,9,32,13,19,20
2019,1,GWS Giants,Essendon Bombers,W,L,20,30,23,39,4,13,9,14
2019,1,Freemantle Dockers,North Melbourne Kangaroos,W,L,34,41,34,32,12,24,8,15
2019,2,Richmond Tigers,Collingwood Magpies,L,W,14,25,19,8,20,25,31,34
2019,2,Sydney Swans,Adelaide Crows,L,W,8,34,4,16,29,17,23,19
2019,2,Essendon Bombers,St Kilda Saints,L,W,2,27,21,15,19,32,9,16
2019,2,Port Adelaide Power,Carlton Blues,W,L,26,27,9,26,32,2,25,13
2019,2,Geelong Cats,Melbourne Demons,W,L,37,9,36,44,14,8,5,19
2019,2,West Coast Eagles,GWS Giants,W,L,15,37,25,27,9,15,22,6
2019,2,North Melbourne Kangaroos,Brisbane Lions,L,W,22,25,15,25,8,27,29,43
2019,2,Hawthorn Hawks,Western Bulldogs,L,W,26,7,46,8,22,15,12,57
2019,2,Gold Coast Suns,Freemantle Dockers,W,L,16,16,8,21,15,14,20,9
2019,3,Adelaide Crows,Geelong Cats,L,W,24,9,33,9,38,18,13,30
2019,3,Melbourne Demons,Essendon Bombers,L,W,19,42,14,37,40,14,42,34
2019,3,Carlton Blues,Sydney Swans,L,W,34,7,15,18,37,22,16,18
2019,3,GWS Giants,Richmond Tigers,W,L,16,39,33,37,24,16,28,8
2019,3,Brisbane Lions,Port Adelaide Power,W,L,32,20,20,35,20,19,26,25
2019,3,Collingwood Magpies,West Coast Eagles,L,W,19,20,9,28,8,40,20,30
2019,3,Western Bulldogs,Gold Coast Suns,L,W,16,16,8,28,40,8,11,14
2019,3,Hawthorn Hawks,North Melbourne Kangaroos,W,L,8,25,21,33,27,15,11,18
2019,3,Freemantle Dockers,St Kilda Saints,W,L,20,18,18,15,7,26,17,16
2019,4,Sydney Swans,Melbourne Demons,L,W,34,24,7,13,20,32,27,21
2019,4,Collingwood Magpies,Western Bulldogs,W,L,8,22,15,33,3,16,31,14
2019,4,Geelong Cats,GWS Giants,L,W,27,21,20,7,7,20,40,12
2019,4,Essendon Bombers,Brisbane Lions,W,L,44,28,14,26,14,9,27,15
